,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
58,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,1085.0,493.0,0.0,0.0011
59,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM,1537.0,1.0,194.0,158.0,0.0,0.0005
60,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,353.0,158.0,0.0,0.0005
61,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),1383,1.0,5866.0,174.0,0.0,0.0082
62,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),1152,1.0,72119.0,18504.0,0.0,0.0948
63,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),768,1.0,62268.0,24147.0,0.0,0.0796
64,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),384,1.0,55288.0,26707.0,0.0,0.0674
65,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),153,1.0,60283.0,28644.0,0.0,0.0673
66,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),1383,1.0,1181.0,1018.0,0.0,0.0016
67,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),1152,1.0,1413.0,987.0,0.0,0.0017
68,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),768,1.0,1021.0,977.0,0.0,0.0012
