,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
99,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),2185,1.0,342.0,285.0,0.0,0.0016
100,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),1457,1.0,269.0,186.0,0.0,0.0013
101,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),728,1.0,275.0,165.0,0.0,0.0012
102,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),291,1.0,461.0,199.0,0.0,0.001
103,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),2622,1.0,569.0,1336.0,0.0,0.0014
104,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),2185,1.0,570.0,1225.0,0.0,0.0012
105,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),1457,1.0,573.0,1106.0,0.0,0.001
106,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),728,1.0,626.0,1077.0,0.0,0.0008
107,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),291,1.0,4837.0,792.0,0.0,0.0045
108,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",2622,1.0,1105.0,403.0,5.0,0.0015
109,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",2185,1.0,934.0,294.0,3.0,0.0012
110,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",1457,1.0,835.0,294.0,3.0,0.001
111,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",728,1.0,917.0,471.0,6.0,0.0009
112,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",291,1.0,1336.0,706.0,9.0,0.001
113,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,IDMM,-,1.0,927.0,317.0,0.0,0.001
114,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,D-MM,-,1.0,431.0,317.0,0.0,0.001
115,10.0,2.0,6.0, 3 1 2 7 4 0 8 9 5 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*,11317.0,1.0,1777.0,1752.0,0.0,0.0038
