,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
75,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),75229,1.0,83484.0,0.1507
76,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),62691,1.0,83484.0,0.1499
77,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),41794,1.0,83484.0,0.1477
78,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),20897,1.0,122585.0,0.2068
79,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),8358,1.0,222533.0,0.3765
80,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,110735.0,1.0,8500.0,0.0639
81,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,21018.0,0.0639
82,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),110735,1.0,80052.0,0.1503
83,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),99661,1.0,80052.0,0.1482
84,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),83051,1.0,80052.0,0.1452
85,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),55367,1.0,80052.0,0.1376
86,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),27683,1.0,107089.0,0.1766
87,16.0,0.0,11.0, 2 4 3 5 0 1 7 6 8 10 9 12 11 14 13 15, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),11073,1.0,145208.0,0.238
